Title,Body,Labels
"Order totals trust client prices (P0)","Repro: Create an order and tamper items[].price before submission. Expected: Server recalculates totals from product catalog and rejects mismatches. Actual: Order accepted and total based on tampered price. Evidence: server/index.ts (createOrderRecord, /api/orders). Fix: Fetch product prices server-side by productId, compute totals, reject mismatches.","security,payment,p0"
"Stripe line items use client prices (P0)","Repro: Initiate Stripe payment and tamper items[].price. Expected: Stripe line items use server-validated prices. Actual: Stripe session uses client-provided price. Evidence: server/index.ts (/api/payments/initiate). Fix: Build Stripe line items from server-side prices.","security,payment,stripe,p0"
"Login rate limiting not applied (P1)","Repro: Attempt rapid login attempts on /auth/*/login. Expected: Rate limiting throttles repeated attempts. Actual: No rate limiting applied. Evidence: server/index.ts defines limiters; server/routes/auth.ts does not apply them. Fix: Apply adminLoginLimiter and customerAuthLimiter to login routes.","security,auth,p1"
"Admin login does not enforce roles (P1)","Repro: Login on Admin tab with non-admin account. Expected: Login rejected due to missing admin role. Actual: Login succeeds, client marks role as admin, UI opens but API blocks. Evidence: server/routes/auth.ts (/auth/admin/login), src/context/AuthContext.tsx. Fix: Enforce admin roles server-side and remove client role override.","security,rbac,p1"
"Access token stored in localStorage (P1)","Repro: Login and inspect localStorage. Expected: Token stored in httpOnly cookie or memory. Actual: Token stored in localStorage. Evidence: src/context/AuthContext.tsx. Fix: Use httpOnly cookies or memory-only storage.","security,auth,p1"
"Stock not validated or decremented on order (P2)","Repro: Place orders for low-stock products. Expected: Server blocks or updates stock. Actual: Order succeeds without stock checks or decrement. Evidence: server/index.ts. Fix: Validate stock and decrement in a transaction.","data-integrity,orders,p2"
"Order tracking accessible without verification (P2)","Repro: Call /api/orders/track with only tracking id. Expected: Require email or phone verification. Actual: Tracking data returned. Evidence: server/index.ts. Fix: Require email/phone or OTP verification.","security,privacy,p2"
"Mock API fallback if DATABASE_URL missing (P2)","Repro: Deploy without DATABASE_URL or set USE_MOCK_API=true. Expected: API fails closed. Actual: Mock API serves non-persistent data. Evidence: api/[...all].ts. Fix: Disable mock in production and fail closed.","deployment,p2"
"Missing forgot-password flow (P2)","Repro: Attempt to reset password when logged out. Expected: Reset email/token flow. Actual: Only authenticated reset endpoint exists. Evidence: server/routes/auth.ts. Fix: Implement password reset request and token validation.","auth,p2"
"Audit logs missing on key admin actions (P3)","Repro: Update order status or approve payment. Expected: Audit log entry created. Actual: No audit entries. Evidence: server/index.ts. Fix: Add createAuditLog on admin mutations.","audit,p3"
"Documentation mismatch for test credentials (P3)","Repro: Follow TESTING.md creds. Expected: Credentials work. Actual: Seed generates random passwords. Evidence: TESTING.md, server/db-seed.ts. Fix: Update docs or seed deterministically.","docs,p3"
"Mobile app not aligned with API backend (P3)","Repro: Compare Flutter backend vs Express API. Expected: Shared backend or documented split. Actual: Flutter uses Firebase; web uses Express. Evidence: flutter_app/lib/*. Fix: Align or document split.","mobile,architecture,p3"
